,Waktu,Inference Time,Jarak YOLO,Jarak MediaPipe,x-mid,near,Regulasi Waktu,Deteksi,Terkirim,Mencari,Keterangan
6,2024-12-18 12:48:09,0.0,2.4469476744186047,4.621412558954418,765,682,0.2960429191589355,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
7,2024-12-18 12:48:09,0.0,5.6875,46.11461992507799,484,341,0.2990999221801758,b'B\n',b'E\n',Dalam frame,Kursi roda Maju
8,2024-12-18 12:48:10,0.0,2.209317585301837,5.606280305459782,595,682,0.2515819072723388,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
12,2024-12-18 12:48:14,0.0,1.451293103448276,2.740867022068662,128,341,2.773942232131958,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
14,2024-12-18 12:48:17,0.0,1.7108739837398377,3.14787772338124,447,341,2.662057638168335,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
22,2024-12-18 12:50:45,0.0,2.59,5.452319072748308,391,341,0.5046355724334717,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
23,2024-12-18 12:50:46,0.0,2.5979938271604937,4.996027293366013,414,341,0.3869960308074951,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
24,2024-12-18 12:50:48,0.0,1.1421302578018997,1.9733277173941448,164,341,2.733311891555786,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
27,2024-12-18 12:50:51,0.0,1.421875,1.014151690501737,830,682,0.4609930515289306,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
29,2024-12-18 12:50:54,0.0,1.4767543859649124,3.120836471073189,501,341,2.5388412475585938,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
37,2024-12-18 12:50:57,0.0,2.0234375,1.6721029575737587,801,682,0.6617002487182617,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
38,2024-12-18 12:50:57,0.0,2.093905472636816,1.4524409906062306,825,682,0.2674591541290283,b'E\n',b'E\n',Dalam frame,Kursi roda belok Kanan
40,2024-12-18 12:51:00,0.0,1.714358452138493,1.5983970849146776,492,341,0.3556125164031982,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
41,2024-12-18 12:51:00,0.0,1.497775800711744,1.49643806631126,466,341,0.3289594650268554,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
43,2024-12-18 12:51:07,0.0,1.779598308668076,2.382992272617667,896,682,3.9921724796295166,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
46,2024-12-18 12:51:08,0.0,1.6801397205588822,1.701656866609427,525,682,0.3128852844238281,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
47,2024-12-18 12:51:09,0.0009999275207519,1.6408382066276803,1.725580590083006,463,341,0.3225815296173095,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
48,2024-12-18 12:51:11,0.0,1.5332422586520948,1.1241534654207923,850,682,2.3640592098236084,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
50,2024-12-18 12:51:17,0.0,2.262768817204301,2.65250585228579,563,682,5.546722650527954,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
51,2024-12-18 12:51:17,0.0,1.985259433962264,2.170896611906689,408,341,0.3035459518432617,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
52,2024-12-18 12:51:18,0.0,1.6668316831683168,2.518378336329592,189,341,0.3176190853118896,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
53,2024-12-18 12:51:18,0.0,1.5276769509981851,2.429450849208287,202,341,0.381758451461792,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
54,2024-12-18 12:51:21,0.0,2.0185851318944845,3.1727912293783684,440,341,2.99155068397522,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
55,2024-12-18 12:51:21,0.0010058879852294,2.483038348082596,3.1701008613995203,601,682,0.3446485996246338,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
56,2024-12-18 12:51:22,0.0,2.614130434782609,2.792611004184777,769,682,0.2720820903778076,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
57,2024-12-18 12:51:22,0.0,2.7329545454545454,2.5570184691294378,867,682,0.2947041988372803,b'E\n',b'E\n',Dalam frame,Kursi roda belok Kanan
