,Waktu,Inference Time,Jarak YOLO,Jarak MediaPipe,x-mid,near,Regulasi Waktu,Deteksi,Terkirim,Mencari,Keterangan
12,2024-12-18 12:48:14,0.0,1.451293103448276,2.740867022068662,128,341,2.773942232131958,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
13,2024-12-18 12:48:15,0.0010015964508056,0.0,0.0,0,0,0.2930710315704345,b'A\n',b'A\n',Luar frame,Mencari manusia ke Kiri
24,2024-12-18 12:50:48,0.0,1.1421302578018997,1.9733277173941448,164,341,2.733311891555786,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
25,2024-12-18 12:50:49,0.0,0.0,0.0,0,0,0.3535428047180176,b'A\n',b'A\n',Luar frame,Mencari manusia ke Kiri
52,2024-12-18 12:51:18,0.0,1.6668316831683168,2.518378336329592,189,341,0.3176190853118896,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
53,2024-12-18 12:51:18,0.0,1.5276769509981851,2.429450849208287,202,341,0.381758451461792,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
60,2024-12-18 12:51:26,0.0,1.9174259681093395,2.287331277403148,212,341,0.4471855163574219,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
61,2024-12-18 12:51:27,0.0,1.6668316831683168,2.6112022725578394,142,341,0.2535779476165771,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
67,2024-12-18 12:51:37,0.0,1.519404332129964,1.8537342933416736,182,341,1.7376580238342283,b'A\n',b'B\n',Dalam frame,Kursi roda belok Kiri
68,2024-12-18 12:51:38,0.0,0.0,0.0,0,0,0.2502021789550781,b'A\n',b'C\n',Luar frame,Mencari manusia ke Kiri
69,2024-12-18 12:51:38,0.0,0.0,0.0,0,0,0.2617368698120117,b'A\n',b'A\n',Luar frame,Mencari manusia ke Kiri
74,2024-12-18 12:51:44,0.0,2.1528132992327365,1.7878307099372783,245,341,0.3590586185455322,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
77,2024-12-18 12:51:45,0.0,1.825921908893709,9.51287543324619,249,341,0.3616499900817871,b'A\n',b'B\n',Dalam frame,Kursi roda belok Kiri
83,2024-12-18 12:51:52,0.0,1.591209829867675,2.390915446475849,185,341,0.3754796981811523,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
84,2024-12-18 12:51:52,0.0,1.4715909090909092,2.210050431571135,174,341,0.3612711429595947,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
105,2024-12-18 12:55:15,0.0,1.1238317757009346,1.0672484925139467,170,341,1.678467035293579,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
110,2024-12-18 12:55:18,0.0,1.2128962536023054,4.466606501141861,168,341,0.3224070072174072,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
111,2024-12-18 12:55:19,0.0,1.1515047879616964,2.3422447418571184,165,341,0.339937686920166,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
116,2024-12-18 12:55:25,0.0,1.1163793103448276,1.492423812494442,170,341,0.4715368747711181,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
127,2024-12-18 12:58:02,0.4158406257629394,1.2696078431372548,2.0366909812316574,149,341,1.9436414241790767,b'A\n',b'2\n',Dalam frame,Kursi roda belok Kiri
128,2024-12-18 12:58:03,0.0,1.097457627118644,2.0831933983057684,145,341,0.3955214023590088,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
134,2024-12-18 12:58:05,0.0,1.389026402640264,12.622283585632571,130,341,0.3549075126647949,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
135,2024-12-18 12:58:05,0.0,1.3446485623003197,2.3905714751760105,174,341,0.405430793762207,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
140,2024-12-18 12:58:10,0.0,1.4123322147651007,5.647911014624089,320,341,1.293060541152954,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
141,2024-12-18 12:58:11,0.0,0.0,0.0,0,0,0.2506439685821533,b'A\n',b'A\n',Luar frame,Mencari manusia ke Kiri
155,2024-12-18 12:58:25,0.0,1.1046587926509186,2.229965301791601,197,341,4.177610158920288,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
156,2024-12-18 12:58:26,0.0,1.1283512064343164,9.236782198114792,195,341,0.630974292755127,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
159,2024-12-18 13:00:55,0.3866798877716064,1.097457627118644,1.0854860952772718,185,341,1.940821409225464,b'A\n',b'2\n',Dalam frame,Kursi roda belok Kiri
160,2024-12-18 13:00:55,0.0,1.097457627118644,1.1142156364844311,177,341,0.438035249710083,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
161,2024-12-18 13:00:56,0.0,1.0960286458333333,1.10781381598221,167,341,0.3262503147125244,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
166,2024-12-18 13:00:58,0.0,1.690261044176707,3.000340609984602,215,341,0.2737288475036621,b'A\n',b'B\n',Dalam frame,Kursi roda belok Kiri
167,2024-12-18 13:00:59,0.0,1.6868737474949898,8.443949179911762,228,341,0.2535221576690674,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
168,2024-12-18 13:00:59,0.0,1.7536458333333331,10.96497282067093,225,341,0.3323323726654053,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
170,2024-12-18 13:01:00,0.0,1.2734493192133132,4.181437084906157,173,341,0.311305284500122,b'A\n',b'B\n',Dalam frame,Kursi roda belok Kiri
172,2024-12-18 13:01:01,0.0,1.61875,17.08047854174535,170,341,0.4180455207824707,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
173,2024-12-18 13:01:02,0.0,1.5882075471698114,1.550746782101705,222,341,0.2599706649780273,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
178,2024-12-18 13:01:07,0.0,0.0,0.0,0,0,0.2856118679046631,b'A\n',b'C\n',Luar frame,Mencari manusia ke Kiri
182,2024-12-18 13:01:08,0.0,1.61875,2.351941533017615,211,341,0.4923222064971924,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
183,2024-12-18 13:01:09,0.0,1.7039473684210529,4.747563664517223,202,341,0.3286516666412353,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
