,Waktu,Inference Time,Jarak YOLO,Jarak MediaPipe,x-mid,near,Regulasi Waktu,Deteksi,Terkirim,Mencari,Keterangan
101,2024-12-18 12:55:12,0.0,2.063112745098039,0.9851696744840648,833,682,0.840205192565918,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
106,2024-12-18 12:55:15,0.0009999275207519,1.100326797385621,0.894236094300275,242,341,0.2584922313690185,b'C\n',b'A\n',Dalam frame,Menunggu jarak aman
115,2024-12-18 12:55:24,0.0009996891021728,1.1772727272727272,0.9651520589896118,511,341,2.1820809841156006,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
145,2024-12-18 12:58:13,0.0,1.4123322147651007,0.9574289030877272,531,682,1.4998013973236084,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
146,2024-12-18 12:58:14,0.0,1.4537996545768568,0.9899278408548824,555,682,0.2538259029388428,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
149,2024-12-18 12:58:19,0.0,1.1690972222222222,0.921307313465466,852,682,2.4033191204071045,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
150,2024-12-18 12:58:19,0.0,1.1838959212376934,0.9117679917657946,854,682,0.4078602790832519,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
151,2024-12-18 12:58:20,0.0,1.0960286458333333,0.9548233180459984,528,682,0.870793342590332,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
152,2024-12-18 12:58:21,0.0,1.100326797385621,0.91887064342982,547,682,0.4262175559997558,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
153,2024-12-18 12:58:21,0.0009999275207519,1.103211009174312,0.8984654247272585,554,682,0.3496630191802978,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
154,2024-12-18 12:58:21,0.0,1.103211009174312,0.8784921970741957,518,682,0.331402063369751,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
162,2024-12-18 13:00:57,0.0,1.159435261707989,0.9943001767877476,208,341,1.484848976135254,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
188,2024-12-18 13:01:15,0.0,1.364262560777958,0.9899283844585474,849,682,1.5987162590026855,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
197,2024-12-18 13:01:19,0.0,1.0988903394255871,0.7700066052653289,856,682,0.2718970775604248,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
198,2024-12-18 13:01:19,0.0,1.1452380952380952,0.5782292558967105,856,682,0.2509012222290039,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
